Y48G1C.5	I	100.00	398	0	0	384	781	60237	59044	0.0	 773
Y48G1C.5	I	98.56	277	4	0	112	388	62052	61222	5e-170	 563
Y48G1C.5	I	96.92	130	4	0	775	904	57645	57256	1e-59	 232
Y48G1C.5	I	100.00	56	0	0	1016	1071	56292	56125	3e-54	 125
Y48G1C.5	I	74.03	77	20	0	1067	1143	56063	55833	3e-54	 113
Y48G1C.5	I	88.75	80	9	0	38	117	62996	62757	2e-31	 141
Y48G1C.5	I	93.94	66	4	0	905	970	57052	56855	4e-27	 127
Y48G1C.5	I	88.89	63	7	0	327	389	58272	58460	2e-24	 117
Y48G1C.5	I	100.00	51	0	0	965	1015	56688	56536	2e-21	 108
Y48G1C.5	I	96.30	27	1	0	328	354	58120	58200	1e-05	56.2
Y48G1C.5	I	100.00	23	0	0	1125	1147	55450	55382	5e-05	54.3
